,name,price_point,tags
106,Volcano Restaurant Bar & Grill,,"['Bars', 'American']"
107,Inkwell,$$$,"['Tapas/Small Plates', 'Cocktail Bars']"
108,Mazzat Restaurant,,['Mediterranean']
109,Roma Cafe,$$$,['Italian']
110,Waypoint Restaurant,,"['American', 'Bars', 'Seafood']"
111,Tres Leches Cakes Flor,,"['Bakeries', 'Mexican']"
112,Little Pig,,['Thai']
113,Tomaso's Canteen,$$,"['Bars', 'American']"
114,David's Restaurant,$$$,"['New American', 'Seafood']"
115,Tuscan Table,$$,['Italian']
116,The Porthole Restaurant & Pub,$$,"['Diners', 'Seafood', 'Breakfast & Brunch']"
117,Casita Corazon,,['Mexican']
118,Mitr Ping Yang Thai Kitchen,,['Thai']
119,Smalls,,['Cafes']
120,Low Key,,"['Bars', 'Seafood', 'Sandwiches']"
121,Ugly Duckling,,"['Bakeries', 'Breakfast & Brunch']"
122,Taco Trio,$,['Mexican']
123,Nosh Taco,,['Tacos']
124,The Sinful Kitchen,$$,"['Breakfast & Brunch', 'Coffee & Tea', 'Gluten-Free']"
125,The Corner Room,$$,"['Italian', 'Pizza', 'Bars']"
126,David's 388 - South Portland,$$,"['New American', 'Bars', 'Desserts']"
127,Angoor Wine Bar,,"['Wine Bars', 'Venues & Event Spaces', 'Tapas Bars']"
128,Coals Bayside,$$,['Pizza']
129,Tacos Del Seoul,$,"['Food Trucks', 'Korean', 'Mexican']"
130,Benkay Japanese Restaurant & Sushi Bar,$$,"['Japanese', 'Sushi Bars']"
131,Henry's Public House,,"['Cocktail Bars', 'Wine Bars', 'American']"
132,Oun Lido’s,,"['Cambodian', 'Salad', 'Coffee & Tea']"
133,Old Port Noodle House,$$,"['Vietnamese', 'Thai', 'Noodles']"
134,Clam Bar,,['Seafood']
135,The Frog & Turtle,$$,"['French', 'Breakfast & Brunch', 'Gastropubs']"
136,Saeng Thai House,$$,"['Thai', 'Asian Fusion']"
137,Crunchy Poké,$$,"['Sushi Bars', 'Ramen', 'Poke']"
138,De Vons,,['French']
139,Low Stakes Lodge,,"['American', 'Steakhouses']"
140,Portland Lobster Co,$$,['Seafood']
141,Genji Ramen,,"['Mexican', 'Ramen', 'Sushi Bars']"
142,Kozeta's Restaurant,$,"['Pizza', 'Greek', 'Breakfast & Brunch']"
143,Saltwater Grille,$$$,"['American', 'Seafood', 'Cocktail Bars']"
144,Red Sea Restaurant,$$,['African']
145,Dutch's,$$,"['Breakfast & Brunch', 'Sandwiches']"
146,Slab Sicilian Street Food,$$,"['Bars', 'Pizza', 'Italian']"
147,Bistro Leluco,,"['Bars', 'Seafood', 'Mediterranean']"
148,Anoche,,"['Basque', 'Cocktail Bars']"
149,J's Oyster,$$,['Seafood']
150,Noble Barbecue,$$,"['Barbeque', 'Sandwiches']"
151,Other Side Diner,$$,"['Diners', 'Breakfast & Brunch', 'Greek']"
152,Port 65 Kitchen & Bar,,"['Diners', 'Breakfast & Brunch', 'Bars']"
153,Ocotillo,,"['Breakfast & Brunch', 'Venues & Event Spaces', 'Cocktail Bars']"
154,Local 188,$$,"['Spanish', 'Bars', 'Mediterranean']"
155,Camp Pennant,,"['Brewpubs', 'Distilleries', 'Pizza']"
156,Sun Vietnamese Restaurant,$,"['Vietnamese', 'Salad', 'Chicken Wings']"
157,LB Kitchen,$$,"['Cafes', 'Juice Bars & Smoothies', 'Breakfast & Brunch']"
158,Pattaya Kitchen,,"['Asian Fusion', 'Thai', 'Noodles']"
159,Andy's Old Port Pub,$$,"['Pubs', 'New American', 'Music Venues']"
160,Sal De La Tierra,,"['Latin American', 'Mexican']"
161,Magissa,,['Greek']
162,Dina’s Cuisine,,"['Mediterranean', 'Middle Eastern', 'Bakeries']"
163,Cafe Louis,,"['Caribbean', 'Breakfast & Brunch']"
164,The Local Press,$,"['Soup', 'Sandwiches']"
165,Docks Seafood,$$,"['Seafood', 'Seafood Markets']"
166,Nura Hummus and Falafel,,"['Middle Eastern', 'Salad', 'Sandwiches']"
167,Yosaku,$$,"['Japanese', 'Sushi Bars']"
168,Marcy's Diner,$$,"['Diners', 'American', 'Breakfast & Brunch']"
169,Porttown Public House & Coffee Bar,,"['Bars', 'Pizza', 'Coffee & Tea']"
170,Alto Terrace Bar + Kitchen,,"['Beer, Wine & Spirits', 'Breakfast & Brunch', 'Cocktail Bars']"
171,The Toku Truck,,"['Food Trucks', 'Juice Bars & Smoothies', 'Sandwiches']"
172,CBG Bar & Grill,,"['American', 'Bars']"
173,Sicilian Table,$$$,"['Mediterranean', 'Italian']"
174,,,
175,OTTO,$$,"['Pizza', 'Gluten-Free', 'Vegetarian']"
176,BenReuben’s Knishery,,['Delis']
177,Nonesuch River Brewing,$$,"['Breweries', 'Pubs', 'New American']"
178,Brookside Food And Drink,,"['Salad', 'Mexican', 'Sandwiches']"
179,Bar Publica,,"['Latin American', 'Bars']"
180,Rio Bravo Tacos and Tequila,$$,['Mexican']
181,Knitting Nook,,"['Knitting Supplies', 'Sandwiches', 'Coffee & Tea']"
182,Mesa Grande Taqueria,,['Mexican']
183,Schulte & Herr,$$,['German']
184,Restaurante El Corazon,$$,"['Bars', 'Mexican']"
185,The Rusty Lantern,$$,"['New American', 'Coffee & Tea', 'Gas Stations']"
186,Foreside Tavern & Side Bar,$$,['New American']
187,Artemisia Cafe,$$,"['Breakfast & Brunch', 'Cafes', 'Burgers']"
188,Flores Restaurant,,"['Salvadoran', 'Bars']"
189,Greeks of Peaks,,"['Greek', 'Food Trucks']"
190,Phoever Maine Vietnamese Bar & Grill,$$,"['Vietnamese', 'Soup', 'Cocktail Bars']"
191,Asmara,$$,"['African', 'Ethiopian', 'Eritrean']"
192,Cowbell Rock Row,$$,"['Sports Bars', 'New American', 'Burgers']"
193,O' Oysters,,"['Caterers', 'Seafood', 'Street Vendors']"
194,Tostones Cafe,,['Latin American']
195,George & Leon’s,$$,"['Sandwiches', 'Desserts', 'Wine Bars']"
196,Cheese Louise - Portland,$$,"['Sandwiches', 'Bars', 'American']"
197,Nosh Kitchen Bar,$$,"['Sandwiches', 'Burgers', 'Cocktail Bars']"
198,Blazes Burgers,$,"['Burgers', 'American', 'Sandwiches']"
199,Guerrero Maya Mexican Restaurant,$$,['Mexican']
200,Forage Market,$$,"['Breakfast & Brunch', 'Bagels', 'Sandwiches']"
201,Meow Cat Lounge,,"['Themed Cafes', 'Gift Shops']"
202,Ramona's,$$,['Breakfast & Brunch']
203,HiFi Donuts,$,"['Donuts', 'Coffee & Tea', 'Breakfast & Brunch']"
204,Po' Boys & Pickles,$$,"['Sandwiches', 'Cajun/Creole', 'Seafood']"
205,Tokyo Sushi Ramen & Bar,,"['Sushi Bars', 'Ramen']"
206,Fuego,,['New Mexican Cuisine']
207,Banh Appetit,,"['Vietnamese', 'Sandwiches']"
208,Anania's Variety,$,"['Sandwiches', 'Pizza', 'Breakfast & Brunch']"
209,Paper City BBQ,,"['Barbeque', 'Whiskey Bars']"
210,Uncharted Tea,$,"['Cafes', 'Bubble Tea', 'Tea Rooms']"
211,Sebago Brewing Company,$$,"['New American', 'Brewpubs', 'Burgers']"
212,Elsmere BBQ & Wood Grill,$$,"['Barbeque', 'Seafood', 'Sandwiches']"
213,Pizzaiolo,$,"['Pizza', 'Salad', 'Desserts']"
214,Bayou Kitchen 2,,['Cajun/Creole']
215,Rosie's,$$,"['Seafood', 'Burgers', 'Pubs']"
216,Rebel Munchies & Libations,,"['Sandwiches', 'Salad', 'Cheesesteaks']"
217,Golden Lotus Chinese Cuisine,$$,"['Cantonese', 'Dim Sum']"
218,Free Street,,"['American', 'Cocktail Bars']"
219,Bearded Lady's Jewel Box,$$,"['Cocktail Bars', 'Tapas/Small Plates']"
220,Mr. Tuna,$$,"['Sushi Bars', 'Food Trucks', 'Japanese']"
221,Coppersmith Tavern & Table,,"['Soup', 'Chicken Wings', 'Sports Bars']"
222,Vientiane Market,$,['Thai']
223,Dockside Grill,$$,"['New American', 'Seafood']"
224,Shaking Crab Cajun Seafood,,"['Seafood', 'Cajun/Creole', 'Salad']"
225,Diamond's Edge Restaurant & Marina,$$$,['Seafood']
226,HI BOMBAY,,['Indian']
227,Island Lobster Company,$$,"['Seafood', 'American']"
228,Bake Maine Pottery Cafe,,"['Cafes', 'Breakfast & Brunch', 'Sandwiches']"
229,Foodie friends grocery & restaurant,,"['Middle Eastern', 'Falafel', 'International Grocery']"
230,Calabash,$$,"['New American', 'Cigar Bars', 'Beer Bar']"
231,Riverton Station,,"['Pizza', 'Salad', 'Sandwiches']"
232,Olive Cafe,$$,"['Mediterranean', 'Lebanese']"
233,Congress Squared Restaurant,$$,"['New American', 'Seafood']"
234,Babas,,"['Sandwiches', 'Cafes', 'Coffee & Tea']"
235,Rathskeller On Wharf,,"['American', 'Beer Bar', 'Cocktail Bars']"
236,Tally's Kitchen at Bayside,,"['Bakeries', 'Breakfast & Brunch', 'Sandwiches']"
237,Coffee ME Up,$,"['Coffee & Tea', 'Breakfast & Brunch']"
238,Ruski's Tavern,$,"['Pubs', 'Breakfast & Brunch', 'Dive Bars']"
239,Taj Indian Cuisine,$$,"['Indian', 'Buffets', 'Halal']"
